event,event_guid,disease,pathogen,date_occurred_low_end,date_occurred_high_end,date_reported,country,administrative_area_level_1,cases,confirmed_cases,suspected_cases,probable_cases,deaths,confirmed_deaths,suspected_deaths,probable_deaths,cuml_cases,cuml_confirmed_cases,cuml_suspected_cases,cuml_probable_cases,cuml_deaths,cuml_confirmed_deaths,cuml_suspected_deaths,cuml_probable_deaths,source,latitude,longitude
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-03-27,2024-03-27,2024-04-05,United States,"",1,1,,,0,,,,1,1,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-03-27,2024-03-27,2024-04-05,United States,Texas,1,1,,,0,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-21,2024-05-21,2024-05-24,United States,"",1,1,,,0,,,,2,2,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-21,2024-05-21,2024-05-24,United States,Michigan,1,1,,,0,,,,1,1,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-21,2024-05-21,2024-05-24,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-22,2024-05-25,2024-05-31,United States,"",1,1,,,0,,,,3,3,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-22,2024-05-25,2024-05-31,United States,Michigan,1,1,,,0,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-05-22,2024-05-25,2024-05-31,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-06-26,2024-06-26,2024-07-05,United States,"",1,1,,,0,,,,4,4,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-06-26,2024-06-26,2024-07-05,United States,Colorado,1,1,,,0,,,,1,1,,,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-06-26,2024-06-26,2024-07-05,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-06-26,2024-06-26,2024-07-05,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-12,2024-07-12,2024-07-14,United States,"",4,4,,,0,,,,8,8,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-12,2024-07-12,2024-07-14,United States,Colorado,4,4,,,0,,,,5,5,,,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-12,2024-07-12,2024-07-14,United States,Colorado,4,4,,,0,,,,4,4,,,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-12,2024-07-12,2024-07-14,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-12,2024-07-12,2024-07-14,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-13,2024-07-13,2024-07-14,United States,"",1,1,,,0,,,,9,9,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-13,2024-07-13,2024-07-14,United States,Colorado,1,1,,,0,,,,6,6,,,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-13,2024-07-13,2024-07-14,United States,Colorado,1,1,,,0,,,,5,5,,,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-13,2024-07-13,2024-07-14,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-13,2024-07-13,2024-07-14,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-19,2024-07-19,2024-07-19,United States,"",1,1,,,0,,,,10,10,,,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-19,2024-07-19,2024-07-19,United States,Colorado,1,1,,,0,,,,7,7,,,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-19,2024-07-19,2024-07-19,United States,Colorado,1,1,,,0,,,,6,6,,,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-19,2024-07-19,2024-07-19,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-19,2024-07-19,2024-07-19,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-20,2024-07-20,2024-07-20,United States,"",1,,,1,0,,,,11,10,,1,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-20,2024-07-20,2024-07-20,United States,Colorado,1,,,1,0,,,,8,7,,1,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-20,2024-07-20,2024-07-20,United States,Colorado,1,,,1,0,,,,7,6,,1,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-20,2024-07-20,2024-07-20,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-20,2024-07-20,2024-07-20,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-21,2024-07-25,2024-07-25,United States,"",,,,,,,,,13,13,,0,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-21,2024-07-25,2024-07-25,United States,Colorado,,,,,,,,,10,10,,0,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-21,2024-07-25,2024-07-25,United States,Colorado,,,,,,,,,7,7,,0,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-21,2024-07-25,2024-07-25,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-21,2024-07-25,2024-07-25,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-26,2024-07-30,2024-07-30,United States,"",,,,,,,,,13,13,,0,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-26,2024-07-30,2024-07-30,United States,Colorado,,,,,,,,,10,10,,0,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-26,2024-07-30,2024-07-30,United States,Colorado,,,,,,,,,7,7,,0,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-26,2024-07-30,2024-07-30,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-26,2024-07-30,2024-07-30,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-31,2024-08-01,2024-08-01,United States,"",,,,,,,,,13,13,,0,0,,,,Multisource Fusion,37.09024,-95.712891
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-31,2024-08-01,2024-08-01,United States,Colorado,,,,,,,,,10,10,,0,0,,,,Multisource Fusion,39.5500507,-105.7820674
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-31,2024-08-01,2024-08-01,United States,Colorado,,,,,,,,,7,7,,0,0,,,,Multisource Fusion,40.3920718,-104.7158226
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-31,2024-08-01,2024-08-01,United States,Michigan,,,,,,,,,2,2,,,0,,,,Multisource Fusion,44.3148443,-85.6023643
Novel Influenza A (H5N1)_United States_2023,3457ddf3-06c1-40e2-862d-2f7456a4b718,Influenza,Novel Influenza A (H5N1),2024-07-31,2024-08-01,2024-08-01,United States,Texas,,,,,,,,,1,1,,,0,,,,Multisource Fusion,31.9685988,-99.9018131
