source,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency,date_occurred_low_end,date_occurred_high_end,cuml_cases,abbreviation,id
Wildlife,Waushara,Red fox,,EA H5N1,,2022-05-05,2022-04-24,,,,,,,,WI,55137
Wildlife,Rock,Red fox,,EA H5N1,,2022-05-05,2022-04-19,,,,,,,,WI,55105
Wildlife,Dane,Red fox,,EA H5N1,,2022-05-06,2022-05-05,,,,,,,,WI,55025
Wildlife,Jefferson,Red fox,,EA H5N1,,2022-05-06,2022-04-09,,,,,,,,WI,55055
Wildlife,Jefferson,Red fox,,EA H5N1,,2022-05-06,2022-04-09,,,,,,,,WI,55055
Wildlife,Anoka,Red fox,,EA H5N1,,2022-05-10,2022-04-22,,,,,,,,MN,27003
Wildlife,Hancock,Red fox,,EA/AM H5N1,,2022-05-11,2022-05-06,,,,,,,,IA,19081
Wildlife,Lapeer,Red fox,,EA H5N1,,2022-05-11,2022-04-14,,,,,,,,MI,26087
Wildlife,St Clair,Red fox,,EA H5N1,,2022-05-11,2022-04-13,,,,,,,,MI,26147
Wildlife,Macomb,Red fox,,EA H5N1,,2022-05-11,2022-04-01,,,,,,,,MI,26099
Wildlife,Macomb,Red fox,,EA H5N1,,2022-05-11,2022-04-01,,,,,,,,MI,26099
Wildlife,Hennepin,Red fox,,EA H5N1,,2022-05-12,2022-05-10,,,,,,,,MN,27053
Wildlife,Washington,Red fox,,EA H5N1,,2022-05-12,2022-05-10,,,,,,,,MN,27163
Wildlife,Dakota,Red fox,,EA H5N1,,2022-05-12,2022-05-10,,,,,,,,MN,27037
Wildlife,Hennepin,Red fox,,EA H5N1,,2022-05-12,2022-05-10,,,,,,,,MN,27053
Wildlife,Grant,Red fox,,EA H5N1,,2022-05-13,2022-05-06,,,,,,,,WI,55043
Wildlife,Grant,Red fox,,EA H5N1,,2022-05-13,2022-05-06,,,,,,,,WI,55043
Wildlife,Adams,Red fox,,EA H5N1,,2022-05-13,2022-05-03,,,,,,,,WI,55001
Wildlife,Adams,Red fox,,EA H5N1,,2022-05-13,2022-05-03,,,,,,,,WI,55001
Wildlife,Rock,Red fox,,EA H5N1,,2022-05-13,2022-04-19,,,,,,,,WI,55105
Wildlife,Dane,Red fox,,EA H5N1,,2022-05-13,2022-04-12,,,,,,,,WI,55025
Wildlife,Jefferson,Red fox,,EA H5N1,,2022-05-13,2022-04-11,,,,,,,,WI,55055
Wildlife,Erie,Red fox,,EA H5N1,,2022-05-16,2022-04-27,,,,,,,,NY,36029
Wildlife,Erie,Red fox,,EA H5N1,,2022-05-16,2022-04-27,,,,,,,,NY,36029
Wildlife,St Lawrence,Red fox,,EA H5N1,,2022-05-16,2022-04-15,,,,,,,,NY,36089
Wildlife,St Lawrence,Red fox,,EA H5N1,,2022-05-16,2022-04-15,,,,,,,,NY,36089
Wildlife,Tompkins,Red fox,,EA H5N1,,2022-05-16,2022-04-11,,,,,,,,NY,36109
Wildlife,Cedar,Red fox,,EA H5N1,,2022-05-18,2022-05-11,,,,,,,,IA,19031
Wildlife,Niagara,Red fox,,EA H5N1,,2022-05-19,2022-05-10,,,,,,,,NY,36063
Wildlife,Lincoln,Bobcat,,EA H5N1,,2022-05-24,2022-05-05,,,,,,,,WI,55069
Wildlife,Lincoln,Bobcat,,EA H5N1,,2022-05-24,2022-04-24,,,,,,,,WI,55069
Wildlife,Aleutians West,Red fox,,EA H5N1,,2022-05-25,2022-05-10,,,,,,,,AK,02016
Wildlife,Itasca,Red fox,,EA H5N1,,2022-05-27,2022-05-13,,,,,,,,MN,27061
Wildlife,Stearns,Red fox,,EA H5N1,,2022-05-27,2022-05-10,,,,,,,,MN,27145
Wildlife,Erie,Red fox,,EA H5N1,,2022-05-27,2022-05-20,,,,,,,,NY,36029
Wildlife,Buchanan,Virginia opossum,,EA H5N1,,2022-05-31,2022-05-20,,,,,,,,IA,19019
Wildlife,Buchanan,Virginia opossum,,EA H5N1,,2022-05-31,2022-05-20,,,,,,,,IA,19019
Wildlife,Dickey,Red fox,,EA H5N1,,2022-06-02,2022-05-18,,,,,,,,ND,38021
Wildlife,Scott,Red fox,,EA H5N1,,2022-06-03,2022-05-29,,,,,,,,MN,27139
Wildlife,Osceola,Red fox,,EA H5N1,,2022-06-07,2022-05-19,,,,,,,,MI,26133
Wildlife,Burleigh,Red fox,,EA H5N1,,2022-06-08,2022-05-18,,,,,,,,ND,38015
Wildlife,Salt Lake,Red fox,,EA H5N1,,2022-06-08,2022-05-26,,,,,,,,UT,49035
Wildlife,Otsego,Red fox,,EA H5N1,,2022-06-09,2022-05-18,,,,,,,,MI,26137
Wildlife,Midland,Red fox,,EA H5N1,,2022-06-09,2022-05-10,,,,,,,,MI,26111
Wildlife,Midland,Red fox,,EA H5N1,,2022-06-09,2022-05-10,,,,,,,,MI,26111
Wildlife,Osceola,Red fox,,EA H5N1,,2022-06-09,2022-05-05,,,,,,,,MI,26133
Wildlife,Franklin,Raccoon,,EA H5N1,,2022-06-14,2022-06-06,,,,,,,,WA,53021
Wildlife,Franklin,Raccoon,,EA H5N1,,2022-06-14,2022-06-06,,,,,,,,WA,53021
Wildlife,Franklin,Raccoon,,EA H5N1,,2022-06-14,2022-06-06,,,,,,,,WA,53021
Wildlife,Franklin,Raccoon,,EA H5N1,,2022-06-14,2022-06-06,,,,,,,,WA,53021
Wildlife,Muskegon,Red fox,,EA H5N1,,2022-06-17,2022-06-01,,,,,,,,MI,26121
Wildlife,Bay,Red fox,,EA H5N1,,2022-06-17,2022-05-18,,,,,,,,MI,26017
Wildlife,Gladwin,Red fox,,EA H5N1,,2022-06-17,2022-05-14,,,,,,,,MI,26051
Wildlife,Wexford,Coyote,,EA H5N1,,2022-06-17,2022-05-03,,,,,,,,MI,26165
Wildlife,Latah,Striped skunk,,EA H5N1,,2022-06-21,2022-06-05,,,,,,,,ID,16057
Wildlife,Adams,Striped skunk,,EA H5N1,,2022-06-22,2022-06-07,,,,,,,,ID,16003
Wildlife,Adams,Striped skunk,,EA H5N1,,2022-06-22,2022-06-07,,,,,,,,ID,16003
Wildlife,Iron,Raccoon,,EA H5N1,,2022-06-24,2022-06-20,,,,,,,,MI,26071
Wildlife,Chippewa,Red fox,,EA H5N1,,2022-06-24,2022-05-31,,,,,,,,MI,26033
Wildlife,St Croix,Fisher,,EA H5N1,,2022-06-29,2022-04-14,,,,,,,,WI,55109
Wildlife,Lincoln,Harbor seal,,EA H5N1,,2022-07-01,2022-06-27,,,,,,,,ME,23015
Wildlife,Sagadahoc,Harbor seal,,EA H5N1,,2022-07-01,2022-06-26,,,,,,,,ME,23023
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-01,2022-06-24,,,,,,,,ME,23005
Wildlife,York,Harbor seal,,EA H5N1,,2022-07-01,2022-06-22,,,,,,,,ME,23031
Wildlife,Stevens,Raccoon,,EA/AM H5N1,,2022-07-06,2022-06-29,,,,,,,,WA,53065
Wildlife,Nome,Red fox,,EA/AM H5N1,,2022-07-07,2022-06-13,,,,,,,,AK,02180
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-11,2022-07-02,,,,,,,,ME,23005
Wildlife,Lincoln,Harbor seal,,EA H5N1,,2022-07-11,2022-07-02,,,,,,,,ME,23015
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-11,2022-07-01,,,,,,,,ME,23005
Wildlife,Sagadahoc,Grey seal,,EA H5N1,,2022-07-11,2022-07-01,,,,,,,,ME,23023
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-11,2022-06-29,,,,,,,,ME,23005
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-11,2022-06-28,,,,,,,,ME,23005
Wildlife,Bay,Red fox,,EA H5N1,,2022-07-18,2022-05-15,,,,,,,,MI,26017
Wildlife,York,Harbor seal,,EA H5N1,,2022-07-25,2022-07-10,,,,,,,,ME,23031
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-25,2022-07-09,,,,,,,,ME,23005
Wildlife,York,Harbor seal,,EA H5N1,,2022-07-25,2022-07-09,,,,,,,,ME,23031
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-25,2022-07-08,,,,,,,,ME,23005
Wildlife,Cumberland,Harbor seal,,EA H5N1,,2022-07-25,2022-07-07,,,,,,,,ME,23005
Wildlife,Sagadahoc,Harbor seal,,EA H5N1,,2022-07-25,2022-07-05,,,,,,,,ME,23023
Wildlife,Ada,Skunk (unidentified),,EA H5N1,,2022-08-03,2022-07-22,,,,,,,,ID,16001
Wildlife,York,Harbor seal,,EA H5N1,,2022-08-15,2022-07-13,,,,,,,,ME,23031
Wildlife,Dixie,Bottlenose dolphin,,EA/AM H5N1,,2022-08-17,2022-03-30,,,,,,,,FL,12029
Wildlife,Onondaga,Amur Leopard,,EA H5N1,,2022-09-27,2022-09-17,,,,,,,,NY,36067
