source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Mammals,Wisconsin,Waushara,Red fox,,EA H5N1,,5/5/2022,4/24/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Rock,Red fox,,EA H5N1,,5/5/2022,4/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Dane,Red fox,,EA H5N1,,5/6/2022,5/5/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Jefferson,Red fox,,EA H5N1,,5/6/2022,4/9/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Jefferson,Red fox,,EA H5N1,,5/6/2022,4/9/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Anoka,Red fox,,EA H5N1,,5/10/2022,4/22/2022,"","","",""
APHIS - HPAI Detections in Mammals,Iowa,Hancock,Red fox,,EA/AM H5N1,,5/11/2022,5/6/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Lapeer,Red fox,,EA H5N1,,5/11/2022,4/14/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,St Clair,Red fox,,EA H5N1,,5/11/2022,4/13/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Macomb,Red fox,,EA H5N1,,5/11/2022,4/1/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Macomb,Red fox,,EA H5N1,,5/11/2022,4/1/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Hennepin,Red fox,,EA H5N1,,5/12/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Washington,Red fox,,EA H5N1,,5/12/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Dakota,Red fox,,EA H5N1,,5/12/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Hennepin,Red fox,,EA H5N1,,5/12/2022,5/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Grant,Red fox,,EA H5N1,,5/13/2022,5/6/2022,"","","",""
